Commercial District,Address,City,State,Zip Code,Square Footage,Length of Vacancy,Ownership Type,Former Tenant/Current Business,Business for Sale,Leasing Activity,Recorded Owner,Leasing Contact,Coordinates for Mapping
Smaller Districts,955 Massachusetts Avenue,Cambridge,Massachusetts,02139,2365,2 years or more,Real Estate Investment Trust (REIT),Unknown,,Unknown,"DWF V 955 Massachusetts LLC c/o Divco West Real Estate LLC 575 Market Street, 35th floor, San Franciso, CA 94105","CBRE, Charles Kavoogian, (617) 912-7079",POINT (-71.10990702699996 42.36912500700004)
Kendall Square,303 Third Street,Cambridge,Massachusetts,02142,,6-10 months,Real Estate Investment Trust (REIT),Abigail’s,,Actively leasing,"303 Third SPE LCC c/o EQR-R.E. Tax Department, P.O. Box 87407, Chicago, IL 60680","Boston Restaurant Group, (978) 887-9895",POINT (-71.08389404199994 42.36429501900005)
Smaller Districts,699 Mt. Auburn Street,Cambridge,Massachusetts,02138,,2 years or more,Real Estate Investment Trust (REIT),Unknown,,Leased pending occupancy,"Equity One LLC, c/o Equity One, Inc., 1275 Powers Ferry. Suite 100, Marietta, GA 30067","KeyPoint Partners, Donald Mace, (781) 418-6243",POINT (-71.14918403799999 42.37535401800005)
Inman Square,1280 Cambridge Street,Cambridge,Massachusetts,02139,17352,1-2 years,Trust,Cambridge Auto Center,,Leased pending occupancy,"Nan Nai Ko and Julia Koang Shih Ko, Trustees of K & K Realty Trust, 40 Tabor Hill Road, Lincoln, MA 01793",Contact (508) 317-8887,POINT (-71.09887199999997 42.373239013000045)
East Cambridge,20 Child Street,Cambridge,Massachusetts,02141,4418,2 years or more,Real Estate Investment Trust (REIT),New Space,,Actively leasing,"PRII Twenty20 LLC c/o Prudential Real Estate Services, 7 Girala Farms, Madison, NJ 07940","Chris Mearn, (617) 595-544",POINT (-71.07187003399997 42.37139000700006)
Fresh Pond-Alewife,174 Alewife Brook Parkway,Cambridge,Massachusetts,02138,5100,1-2 years,Real Estate Investment Trust (REIT),Panera,,Leased pending occupancy,"The Fresh Pond Mall Limited Partnership, 545 Concord Ave, Cambridge, MA 02140","Vast Capital Management, (617) 491-4431",POINT (-71.14029603599994 42.39086699300003)
Kendall Square,249 Third Street,Cambridge,Massachusetts,02141,1369,6-10 months,Real Estate Investment Trust (REIT),New Space,,Actively leasing,"EQR-249 THIRD ST LLC, Two North Riverside Plaza, Suite 400, Chicago, IL 60606","Boston Realty Advisors, 617-375-7900",POINT (-71.08215395899998 42.36675699400007)
Observatory Hill,143 Huron Avenue,Cambridge,Massachusetts,02138,,6-10 months,Domestic Limited Liability Company (LLC),Renaissance Framing Gallery,,Actively leasing,"RCG Observatory Retail LLC, 17 Ivaloo St, Somerville, MA 02143",(617) 625-8315 or rentals@rcg-llc.com,POINT (-71.13070898299998 42.38284500900006)
Harvard Square,1246 Massachusetts Avenue,Cambridge,Massachusetts,02138,,NA,University,Mr. Bartley's Burger Cottage,true,Business for sale,"President & Fellows of Harvard College c/o Harvard Real Estate Inc., Holyoke Center - Room #1000, 1350 Mass Ave, Cambridge, MA 02138",,POINT (-71.11629596499995 42.37244499500008)
Harvard Square,22 JFK Street,Cambridge,Massachusetts,02138,3308,2 years or more,Trust,Uno's Pizza,,Actively leasing,"Alliara, LLC 1188 Centre Street, Newton Centre, MA 02459","Dartmouth Company, Lindsey Sandell, (617) 369-5936",POINT (-71.11952903299994 42.372901012000064)
