Hospital ID,Hospital Name,Legal Name,Alternate Name,Hospital Type,Institution Name,Street Address,City,State,Zip Code,Phone Number,Latitude,Longitude,Locale Code (NCES),County Code (FIPS),State Code (FIPS),Region Code (AAM),Employer ID Number,Tax Period,Income,Revenue
5793230,CENTRAL VALLEY GENERAL HOSPITAL,102ND INFANTRY REGIMENT MUSEUM INC,,GENERAL ACUTE CARE,,30 HOOD TERRACE,HANFORD,CA,6516,2037846851,36.33615885,-119.6456673,2,,9,1,61354580,201312,0,0
53391362,LOS ROBLES HOSPITAL & MEDICAL CENTER - EAST CAMPUS,ACADEMY HALL MUSEUM,,GENERAL ACUTE CARE,,785 OLD MAIN STREET,WESTLAKE VILAGE,CA,6067,8605636704,34.15493887,-118.8157364,2,3,9,1,,,,
11190023,EAST LOS ANGELES DOCTORS HOSPITAL,AKUS GALLERY,,GENERAL ACUTE CARE,EASTERN CONNECTICUT STATE UNIVERSITY,83 WINDHAM STREET,LOS ANGELES,CA,6226,8604654659,34.0236473,-118.1841648,3,15,9,1,61277820,,,
17090028,SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD,THE ALDRICH CONTEMPORARY PSYCHIATRIC INC,,GENERAL ACUTE CARE,,258 MAIN ST,HOLLYWOOD,CA,6877,2034384519,34.09639136,-118.3252349,2,1,9,1,66069965,201312,18497618,739083
23691706,KINDRED HOSPITAL BALDWIN PARK,HORSE-DRAWN CARRIAGE AND SLEIGH MUSEUM OF NEW ENGLAND INC,,GENERAL ACUTE CARE,,PO BOX 455,BALDWIN PARK,CA,6423,8605378861,34.06303893,-117.9674378,3,11,9,1,311613002,201412,0,0
25190712,LAKEWOOD REGIONAL MEDICAL CENTER,FRIENDS OF AMBLER FARM INC,,GENERAL ACUTE CARE,,PO BOX 7442,LAKEWOOD,CA,6897,2038341143,33.85970662,-118.148403,2,1,9,1,201660209,201306,386780,348206
30791016,MONROVIA MEMORIAL HOSPITAL,AMERICAN CLOCK & WATCH MUSEUM INC,AMERICAN CLOCK AND WATCH MUSEUM,GENERAL ACUTE CARE,,100 MAPLE ST,MONROVIA,CA,6010,8605836070,34.14875866,-117.9926677,2,3,9,1,66006559,201312,480120,236756
30891754,MONTEREY PARK HOSPITAL,AMERICAN MURAL PROJECT INC,,GENERAL ACUTE CARE,,173 LOW RD,MONTEREY PARK,CA,6069,8603793006,34.04946606,-118.1382622,4,5,9,1,263993911,201312,210367,210367
47090505,STAR VIEW ADOLESCENT - P H F,AMERICAN MUSEUM OF AVIATION INC,,PSYCHIATRIC,,21 CLEARVIEW DR,TORRANCE,CA,6076,8602083095,33.82391446,-118.3560969,3,13,9,1,311627202,201312,20225,17841
9092879,CORONA REGIONAL MEDICAL CENTER-MAGNOLIA,AMERICAN MUSEUM OF INDUSTRY & TECHNOLOGY INC,,GENERAL ACUTE CARE,,PO BOX 1997,CORONA,CA,6039,,33.85808331,-117.553858,4,5,9,1,311737150,201312,48628,
30696101,MODOC MEDICAL CENTER,AMERICAN MUSEUM OF MODERN,,GENERAL ACUTE CARE,,247 MOUNTAIN RD,ALTURAS,CA,6029,,41.48005626,-120.545744,2,13,9,1,61397012,,,
38593901,SALINAS VALLEY MEMORIAL HOSPITAL,AMERICAN MUSEUM TORT LAW INC,,GENERAL ACUTE CARE,,97 MAIN STREET,SALINAS,CA,6098,8607383138,36.65903046,-121.6459838,3,5,9,1,61529225,201312,83442,83442
12678414,CORPUS CHRISTI SPECIALTY HOSPITAL,AMERICAN RADIO RELAY LEAGUE,,GENERAL ACUTE CARE,,225 MAIN ST.,CORPUS CHRISTI,TX,6111,,27.77851017,-97.39620831,2,3,9,1,,,,
15992866,HEALTHBRIDGE CHILDREN'S HOSPITAL-ORANGE,AMERICAN SCHOOL FOR THE DEAF MUSEUM & ARCHIVES,,CHILDREN,,139 N. MAIN ST.,ORANGE,CA,6107,,33.78272717,-117.8338919,1,3,9,1,,,,
16192680,HEALTHSOUTH TUSTIN REHABILITATION HOSPITAL,AMERICAN SILVER MUSEUM INC,,GENERAL ACUTE CARE,,39 W MAIN ST,TUSTIN,CA,6451,2036303737,33.74746074,-117.8310556,2,9,9,1,61166092,,,
23792621,KINDRED HOSPITAL BREA,ANTIQUE CARRIAGE AND SLEIGH MUSEUM INC,,GENERAL ACUTE CARE,,509 NEW LONDON ROAD,BREA,CA,6420,,33.93449589,-117.8939488,2,11,9,1,800685596,,,
24392683,KINDRED HOSPITAL WESTMINSTER,ART GALLERIES,,GENERAL ACUTE CARE,CENTRAL CONNECTICUT STATE UNIVERSITY,1615 STANLEY STREET,WESTMINSTER,CA,6050,8608322633,33.76353321,-117.995256,2,3,9,1,61303381,,,
22093277,KAWEAH DELTA MENTAL HEALTH HOSPITAL D/P APH,ART GALLERY,,GENERAL ACUTE CARE,UNIVERSITY OF CONNECTICUT-TRI-CAMPUS,ONE UNIVERSITY PLACE,VISALIA,CA,6901,,36.32084395,-119.3482345,1,1,9,1,60772160,,,
1931537,CHARLTON MEMORIAL HOSPITAL,UNIVERSITY OF SAINT JOSEPH,,GENERAL ACUTE CARE,SAINT JOSEPH COLLEGE,1678 ASYLUM AVENUE,FOLKSTON,GA,6117,,30.84527535,-82.00505739,1,3,9,1,60646829,201306,76183269,69197073
5870563,DAUTERIVE HOSPITAL,AVERY-COPP MUSEUM INC,,GENERAL ACUTE CARE,,154 THAMES ST,NEW IBERIA,LA,6340,,30.00690698,-91.79452385,2,11,9,1,208096779,201312,671012,461649
13177954,CROCKETT MEDICAL CENTER,BALLARD INSTITUTE & MUSEUM OF PUPPETRY,,GENERAL ACUTE CARE,,1 ROYCE CIR.,CROCKETT,TX,6269,,31.32360364,-95.43889931,4,13,9,1,,,,
4671360,CENTRAL LOUISIANA STATE HOSPITAL,BARKER CHARACTER COMIC AND CARTOON MUSEUM,,PSYCHIATRIC,,1188 HIGHLAND AVE,PINEVILLE,LA,6410,2036993822,31.32737894,-92.44013511,2,9,9,1,,,,
15671222,REEVES MEMORIAL MEDICAL CENTER,BARNES FOUNDATION,,GENERAL ACUTE CARE,,85 N MAIN ST,BERNICE,LA,6489,8606285426,32.82399167,-92.65664868,1,101,42,2,236000149,201312,31510061,17595753
16971241,SERENITY SPRINGS SPECIALTY HOSPITAL,BARNES-FRANKLIN ART GALLERY,,PSYCHIATRIC,TUNXIS COMMUNITY COLLEGE,271 SCOTT SWAMP ROAD,FARMERVILLE,LA,6032,,32.77612793,-92.40562585,2,3,9,1,66000798,,,
15371373,RIVERBRIDGE SPECIALTY HOSPITAL,BARNUM MUSEUM FOUNDATION INC,BARNUM MUSEUM FOUNDATION,LONG TERM CARE,,820 MAIN ST,VIDALIA,LA,6604,2033311104,31.56117486,-91.42606698,1,1,9,1,222723433,201312,528071,528071
5371418,CITIZENS MEDICAL CENTER,FAIRFIELD UNIVERSITY,,GENERAL ACUTE CARE,FAIRFIELD UNIVERSITY,1073 NORTH BENSON RD,COLUMBIA,LA,6824,2032544000,32.06003995,-92.09913767,2,1,9,1,60646623,201406,313770004,282265235
22830662,BROWN MEMORIAL CONVALESCENT CENTER,BIRDCRAFT MUSEUM AT FAIRFIELD,,LONG TERM CARE,,2325 BURR STREET,ROYSTON,GA,6824,2032590416,34.28325037,-83.11897237,2,1,9,1,,,,
70990806,COLLEGE MEDICAL CENTER,BLOOMFIELD FARM IMPLEMENT MUSEUM INC,,GENERAL ACUTE CARE,,434 TUNXIS AVE,LONG BEACH,CA,6002,,33.80709287,-118.1933899,2,3,9,1,61030940,,,
